代码,名称,最新价,change,pct_change,买入,卖出,pre_close,今开,最高,最低,volume,amount,date
sz159998,计算机ETF,0.93,-0.021,-0.022080000000000002,0.93,0.931,0.951,0.95,0.951,0.928,83509800,78438945,2025-03-25
sz159997,电子ETF,1.149,-0.019,-0.01627,1.148,1.149,1.168,1.166,1.169,1.145,28009100,32437276,2025-03-25
sz159996,家电ETF,1.414,-0.012,-0.00842,1.414,1.415,1.426,1.426,1.439,1.414,54894800,78118774,2025-03-25
sz159995,芯片ETF,1.251,-0.022,-0.01728,1.25,1.251,1.273,1.273,1.275,1.247,475105808,598023235,2025-03-25
sz159994,5GETF,0.922,-0.017,-0.0181,0.922,0.923,0.939,0.94,0.942,0.918,28324500,26301899,2025-03-25
sz159993,证券ETF龙头,1.176,-0.002,-0.0017000000000000001,1.175,1.176,1.178,1.178,1.18,1.171,44037500,51747502,2025-03-25
sz159992,创新药ETF,0.721,0.001,0.0013900000000000002,0.72,0.721,0.72,0.718,0.723,0.717,302335519,217739330,2025-03-25
sz159991,创大盘ETF,0.467,-0.001,-0.00214,0.466,0.467,0.468,0.468,0.47,0.464,5835600,2726912,2025-03-25
sz159985,豆粕ETF,1.946,0.007,0.00361,1.946,1.947,1.939,1.938,1.953,1.935,110992700,215755869,2025-03-25
sz159982,中证500ETF鹏华,1.517,-0.004,-0.00263,1.517,1.519,1.521,1.516,1.526,1.509,4313224,6535480,2025-03-25
sz159981,能源化工ETF,1.405,-0.006,-0.00425,1.404,1.405,1.411,1.415,1.415,1.397,24050900,33731639,2025-03-25
sz159980,有色ETF,1.753,-0.003,-0.0017100000000000001,1.752,1.753,1.756,1.745,1.753,1.743,87276408,152592713,2025-03-25
sz159977,创业板ETF天弘,2.209,-0.004,-0.00181,2.209,2.21,2.213,2.213,2.225,2.197,29234500,64541068,2025-03-25
sz159976,湾创ETF,1.152,-0.015,-0.012849999999999999,1.152,1.155,1.167,1.166,1.166,1.146,238600,275877,2025-03-25
sz159975,深100ETF招商,0.575,-0.001,-0.0017399999999999998,0.575,0.578,0.576,0.576,0.578,0.574,6780970,3907345,2025-03-25
sz159974,央企创新ETF,1.6,0.005,0.00313,1.598,1.6,1.595,1.593,1.605,1.593,833400,1333064,2025-03-25
sz159973,民企ETF,1.377,0.0,0.0,1.374,1.377,1.377,1.374,1.386,1.371,454200,625665,2025-03-25
sz159972,5年地债ETF,114.754,0.058,0.0005099999999999999,114.754,114.772,114.696,114.8,114.8,114.728,6240600,716025526,2025-03-25
sz159971,创业板ETF富国,1.477,-0.008,-0.005390000000000001,1.477,1.478,1.485,1.486,1.49,1.47,21921500,32398954,2025-03-25
sz159970,深100ETF工银,4.71,0.032,0.006840000000000001,4.709,4.79,4.678,4.716,4.722,4.707,30200,142333,2025-03-25
sz159969,深100ETF银华,1.178,-0.001,-0.0008500000000000001,1.177,1.18,1.179,1.181,1.181,1.176,524100,617813,2025-03-25
sz159968,中证500ETF博时,7.335,-0.014,-0.00191,7.325,7.341,7.349,7.346,7.379,7.31,565757,4155180,2025-03-25
sz159967,创业板成长ETF,0.443,-0.008,-0.01774,0.443,0.444,0.451,0.45,0.453,0.441,274249391,122188442,2025-03-25
sz159966,创业板价值ETF,0.483,-0.001,-0.00207,0.482,0.483,0.484,0.484,0.485,0.48,4697670,2265977,2025-03-25
sz159965,央视50ETF,1.459,0.0,0.0,1.457,1.459,1.459,1.465,1.465,1.455,670300,976823,2025-03-25
sz159964,创业板ETF平安,1.379,-0.003,-0.00217,1.378,1.38,1.382,1.384,1.388,1.371,3950500,5452081,2025-03-25
sz159961,深100ETF方正富邦,1.663,0.001,0.0006,1.659,1.663,1.662,1.663,1.667,1.657,1656700,2752939,2025-03-25
